schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,ARCHANGEL: Tamper-proofing Video Archives using Temporal Content Hashes on the Blockchain,"['Tu Bui', 'Daniel Cooper', 'John Collomosse', 'Mark Bell', 'Alex Green', 'John Sheridan', 'Jez Higgins', 'Arindra Das', 'Jared Keller', 'Olivier Thereaux', 'Alan Brown']",http://arxiv.org/abs/1904.12059v1,N/A,0,2019-04-26T21:59:02Z
1.0,RESEARCH_PAPER,Semantic Referee: A Neural-Symbolic Framework for Enhancing Geospatial Semantic Segmentation,"['Marjan Alirezaie', 'Martin Längkvist', 'Michael Sioutis', 'Amy Loutfi']",http://arxiv.org/abs/1904.13196v1,N/A,0,2019-04-30T12:44:22Z
1.0,RESEARCH_PAPER,Relation-Shape Convolutional Neural Network for Point Cloud Analysis,"['Yongcheng Liu', 'Bin Fan', 'Shiming Xiang', 'Chunhong Pan']",http://arxiv.org/abs/1904.07601v3,N/A,0,2019-04-16T11:28:51Z
1.0,RESEARCH_PAPER,Contextual Aware Joint Probability Model Towards Question Answering System,"['Liu Yang', 'Lijing Song']",http://arxiv.org/abs/1904.08109v1,N/A,0,2019-04-17T07:16:10Z
1.0,RESEARCH_PAPER,Bayesian policy selection using active inference,"['Ozan Çatal', 'Johannes Nauta', 'Tim Verbelen', 'Pieter Simoens', 'Bart Dhoedt']",http://arxiv.org/abs/1904.08149v2,N/A,0,2019-04-17T09:18:07Z
1.0,RESEARCH_PAPER,Downhole Track Detection via Multiscale Conditional Generative Adversarial Nets,"['Jia Li', 'Xing Wei', 'Guoqiang Yang', 'Xiao Sun', 'Changliang Li']",http://arxiv.org/abs/1904.08177v1,N/A,0,2019-04-17T10:50:37Z
1.0,RESEARCH_PAPER,Exploration of Self-Propelling Droplets Using a Curiosity Driven Robotic Assistant,"['Jonathan Grizou', 'Laurie J. Points', 'Abhishek Sharma', 'Leroy Cronin']",http://arxiv.org/abs/1904.12635v1,N/A,0,2019-04-22T22:17:34Z
1.0,RESEARCH_PAPER,Unsupervised Data Augmentation for Consistency Training,"['Qizhe Xie', 'Zihang Dai', 'Eduard Hovy', 'Minh-Thang Luong', 'Quoc V. Le']",http://arxiv.org/abs/1904.12848v6,N/A,0,2019-04-29T17:56:59Z
1.0,RESEARCH_PAPER,Challenges of Real-World Reinforcement Learning,"['Gabriel Dulac-Arnold', 'Daniel Mankowitz', 'Todd Hester']",http://arxiv.org/abs/1904.12901v1,N/A,0,2019-04-29T18:40:15Z
1.0,RESEARCH_PAPER,Coevo: a collaborative design platform with artificial agents,"['Gerard Serra', 'David Miralles']",http://arxiv.org/abs/1904.13333v1,N/A,0,2019-04-30T15:55:34Z
1.0,RESEARCH_PAPER,GazeCorrection:Self-Guided Eye Manipulation in the wild using Self-Supervised Generative Adversarial Networks,"['Jichao Zhang', 'Meng Sun', 'Jingjing Chen', 'Hao Tang', 'Yan Yan', 'Xueying Qin', 'Nicu Sebe']",http://arxiv.org/abs/1906.00805v1,N/A,0,2019-06-03T13:43:01Z
1.0,RESEARCH_PAPER,From Words to Sentences: A Progressive Learning Approach for Zero-resource Machine Translation with Visual Pivots,"['Shizhe Chen', 'Qin Jin', 'Jianlong Fu']",http://arxiv.org/abs/1906.00872v1,N/A,0,2019-06-03T15:28:48Z
1.0,RESEARCH_PAPER,Neural networks grown and self-organized by noise,"['Guruprasad Raghavan', 'Matt Thomson']",http://arxiv.org/abs/1906.01039v1,N/A,0,2019-06-03T19:33:39Z
1.0,RESEARCH_PAPER,Analysis and Improvement of Adversarial Training in DQN Agents With Adversarially-Guided Exploration (AGE),"['Vahid Behzadan', 'William Hsu']",http://arxiv.org/abs/1906.01119v1,N/A,0,2019-06-03T23:31:25Z
1.0,RESEARCH_PAPER,Adversarial Exploitation of Policy Imitation,"['Vahid Behzadan', 'William Hsu']",http://arxiv.org/abs/1906.01121v1,N/A,0,2019-06-03T23:38:33Z
